,spatial,typicalAgeRange,physicalSampleAvailability,followup,pathway
647,England,0-150,['NOT AVAILABLE'],,
648,England,18-90,['NOT AVAILABLE'],,
649,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",0-150,"['PLASMA', 'SERUM', 'WHOLE BLOOD']",,
650,"['United Kingdom,England']",5-9,['NOT AVAILABLE'],,
651,['https://www.geonames.org/6269131/england.html'],0-19,['NOT AVAILABLE'],,
652,https://www.geonames.org/1168579/islamic-republic-of-pakistan.html,15-150,['NOT AVAILABLE'],,
653,['https://www.geonames.org/2656173/bath.html'],18-100,['NOT AVAILABLE'],,
654,['United Kingdom'],0-150,['IN PROGRESS'],,
655,['https://www.geonames.org/2638360/scotland.html'],6-8,['AVAILABILITY TO BE CONFIRMED'],,
656,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2638360/scotland.html', 'https://www.geonames.org/2634895/wales.html']",0-150,['NOT AVAILABLE'],,
657,['https://www.geonames.org/2634343/west-midlands.html'],15-150,['NOT AVAILABLE'],,
658,['https://www.geonames.org/2638360/scotland.html'],18-85,['NOT AVAILABLE'],,
659,Wales,0-150,['NOT AVAILABLE'],,
660,England,0-150,"['DNA', 'PLASMA', 'SERUM']",,
661,['https://www.geonames.org/6269131/england.html\nhttps://www.geonames.org/2634895/wales.html\nhttps://www.geonames.org/2638360/scotland.html'],40-150,['NOT AVAILABLE'],,
662,United Kingdom,40-150,['NOT AVAILABLE'],,
663,https://www.geonames.org/countries/GB/united-kingdom.html,16-99,['NOT AVAILABLE'],,
664,['https://www.geonames.org/2634895/wales.html'],5-14,['NOT AVAILABLE'],,
665,Scotland,0-150,['NOT AVAILABLE'],,
666,['United Kingdom (https://www.geonames.org/2635167/united-kingdom.html)'],0-19,['NOT AVAILABLE'],,
667,"['https://www.geonames.org/2636157/tayside-region.html', 'http://www.geonames.org/2649469/fife.html']",18-85,['NOT AVAILABLE'],,
668,"['https://www.geonames.org/2635167/united-kingdom-of-great-britain-and-northern-ireland.html', '']",18-150,['NOT AVAILABLE'],,
669,England,0-25,['NOT AVAILABLE'],,
670,England,18-100,['NOT AVAILABLE'],,
671,"['https://www.geonames.org/2640923/orkney-islands.html', 'https://www.geonames.org/2638010/shetland-islands.html']",15-150,"['TISSUE', 'WHOLE BLOOD']",,
672,London and Luton,18-85,"['DNA', 'PLASMA', 'SERUM']",,
673,"['https://www.geonames.org/6269131', 'https://www.geonames.org/2634895', 'https://www.geonames.org/2641364/']",0-150,['TISSUE'],,
674,https://www.geonames.org/2643743/london.html,13-150,['NOT AVAILABLE'],,
675,United Kingdom (https://www.geonames.org/2635167/united-kingdom.html),18-150,['NOT AVAILABLE'],,
676,['https://www.geonames.org/2634895/wales.html'],18-80,['NOT AVAILABLE'],,
677,England and Wales,15-150,['NOT AVAILABLE'],,
678,https://www.geonames.org/2636157/tayside-region.html,0-115,['NOT AVAILABLE'],,
679,Scotland,0-115,['NOT AVAILABLE'],,
680,['United Kingdom (https://www.geonames.org/2635167/united-kingdom.html)'],18-110,['WHOLE BLOOD'],,
681,['https://www.geonames.org/2638360/scotland.html'],Not Known,['NOT AVAILABLE'],,
682,['https://www.geonames.org/2634343/west-midlands.html'],0-115,['NOT AVAILABLE'],,
683,https://www.geonames.org/6269131,20-95,['NOT AVAILABLE'],,
684,"['United Kingdom,England,East Midlands']",15-44,['NOT AVAILABLE'],,
685,Worldwide,18-100,['NOT AVAILABLE'],,
686,['https://www.geonames.org/6269131/england.html'],65-85,['NOT AVAILABLE'],,
687,"['United Kingdom,England']",0-150,['NOT AVAILABLE'],,
688,"West Midlands Region, UK",18-150,['NOT AVAILABLE'],,
689,England,15-150,['NOT AVAILABLE'],,
690,['https://www.geonames.org/6269131/england.html'],18-100,['NOT AVAILABLE'],,
691,['https://www.geonames.org/2634343/west-midlands.html'],18-72,['NOT AVAILABLE'],,
692,England,0-150,['NOT AVAILABLE'],,
693,['https://www.geonames.org/2635167/united-kingdom.html'],>18,['NOT AVAILABLE'],,
694,['https://www.geonames.org/2634895/wales.html'],0-19,"['PLASMA', 'RNA', 'TISSUE', 'URINE', 'WHOLE BLOOD']",,
695,['https://www.geonames.org/2638360/scotland.html'],0-115,['NOT AVAILABLE'],,
696,"['https://www.geonames.org/6269131', 'https://www.geonames.org/2634895']",18-85,['NOT AVAILABLE'],,
697,England,18-110,['NOT AVAILABLE'],,
698,https://www.geonames.org/2643743/london.html,0-19,['NOT AVAILABLE'],,
699,['https://www.geonames.org/2656173/bath.html'],0-115,"['URINE', 'WHOLE BLOOD', 'DNA', 'PLASMA', 'SERUM']",,
700,"['https://www.geonames.org/2646895/hillingdon.html', 'https://www.geonames.org/2634341/city-of-westminster.html', 'https://www.geonames.org/3333157/royal-kensington-and-chelsea.html', 'https://www.geonames.org/3333151/harrow.html', 'https://www.geonames.org/3333132/brent.html', 'https://www.geonames.org/2650567/ealing.html', 'https://www.geonames.org/3333155/hounslow.html', 'https://www.geonames.org/3333149/hammersmith-and-fulham.html']",0-4,['NOT AVAILABLE'],,
701,India,50-100,['NOT AVAILABLE'],,
702,['https://www.geonames.org/2634895/wales.html'],18-150,['NOT AVAILABLE'],,
703,['https://www.geonames.org/6269131/england.html'],0-115,['TISSUE'],,
704,https://www.geonames.org/2635167/united-kingdom.html,0-150,['IN PROGRESS'],,
705,"['https://www.geonames.org/2634895/wales.html', 'https://www.geonames.org/6269131/england.html']",9-11,['NOT AVAILABLE'],,
706,https://www.geonames.org/2634343/west-midlands.html,0-150,['NOT AVAILABLE'],,
707,Wales,40-150,['NOT AVAILABLE'],,
708,['https://www.geonames.org/6269131/england.html'],30-62,['NOT AVAILABLE'],,
709,['https://www.geonames.org/2638360/scotland.html'],40-150,['NOT AVAILABLE'],,
710,['https://www.geonames.org/6269131/england.html'],0-120,['NOT AVAILABLE'],,
711,['https://www.geonames.org/1733045/malaysia.html'],18-150,['NOT AVAILABLE'],,
712,['https://www.geonames.org/6269131/england.html'],10-100,['WHOLE BLOOD'],,
713,Wales,0-150,['NOT AVAILABLE'],,
714,"['United Kingdom,Wales']",0-49,['NOT AVAILABLE'],,
715,https://www.geonames.org/6269131/england.html,16-150,['NOT AVAILABLE'],,
716,Scotland,0-150,"['DNA', 'PLASMA', 'RNA', 'SALIVA', 'SERUM', 'SWABS', 'TISSUE', 'URINE', 'WHOLE BLOOD']",,
717,"['United Kingdom,England,Eastern,Fenland', 'United Kingdom,England,Eastern,East Cambridgeshire', 'United Kingdom,England,Eastern,Cambridge', 'United Kingdom,England,Eastern,South Cambridgeshire']",18-150,['NOT AVAILABLE'],,
718,England,0-150,['NOT AVAILABLE'],,
719,['England'],20-95,"['DNA', 'WHOLE BLOOD']",,
720,https://www.geonames.org/2638360/scotland.html,0-4,['NOT AVAILABLE'],,
721,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2638360/scotland.html', 'https://www.geonames.org/2634895/wales.html', 'http://www.geonames.org/2641364/northern-ireland.html']",0-115,['NOT AVAILABLE'],,
722,"['United Kingdom,England']",0-150,['NOT AVAILABLE'],,
723,['https://www.geonames.org/2635167/united-kingdom.html'],0-150,['PERIPHERAL BLOOD CELLS'],,
724,['https://www.geonames.org/2635167/united-kingdom-of-great-britain-and-northern-ireland.html'],16-110,,,
725,https://www.geonames.org/2638360/scotland.html,18-91,,,
726,Wales,0-115,,,
727,https://www.geonames.org/2634895/wales.html,0-150,,,
728,"['United Kingdom,England,West Midlands']",12-110,,,
729,['https://www.geonames.org/2638360/scotland.html'],0-25,,,
730,"['United Kingdom,England']",20-150,,,
731,NHS Brent CCG; NHS Central London CCG; NHS Ealing CCG; NHS Hammersmith &Fulham CCG; NHS Harrow CCG; NHS Hillingdon CCG; NHS Hounslow CCG; NHS West London CCG,0-150,,,
732,['https://saildatabank.com/about-us/overview/'],0-150,,,
733,https://www.geonames.org/2634343/west-midlands.html,40-150,,,
734,['https://www.geonames.org/2640726/oxfordshire.html'],18-120,,,
735,"['United Kingdom,England']",0-150,,,
736,"['United Kingdom,England']",0-120,,,
737,['https://www.geonames.org/11591953/west-midlands.html'],10-110,,,
738,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",6-56,,,
739,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",34-95,,,
740,Wales,60-74,,,
741,NHS Brent CCG; NHS Central London CCG; NHS Ealing CCG; NHS Hammersmith & Fulham CCG; NHS Harrow CCG; NHS Hillingdon CCG; NHS Hounslow CCG; NHS West London CCG,18-150,,,
742,England,15-150,,,
743,https://www.geonames.org/2634895/wales.html,Not Known,,,
744,England,18-100,,,
745,['England'],0-150,,,
746,"West Midlands Region, UK",50-70,,,
747,"['United Kingdom,England,Yorkshire and The Humber,Bradford']",0-150,,,
748,['https://www.geonames.org/2635167/united-kingdom-of-great-britain-and-northern-ireland.html'],0-150,,,
749,['https://www.geonames.org/2634895/wales.html'],0-115,,,
750,"https://www.geonames.org/6269131/england.html, England",0-150,,,
751,England,18-150,,,
752,England,40-150,,,
753,['https://www.geonames.org/6269131/england.html\nhttps://www.geonames.org/2634895/wales.html\nhttps://www.geonames.org/2638360/scotland.html'],0-150,,,
754,['https://www.geonames.org/2638360/scotland.html'],0-100,,,
755,Wales,0-115,,,
756,"United Kingdom, United States of America",0-150,,,
757,"['https://www.geonames.org/2636157/tayside-region.html', 'http://www.geonames.org/2649469/fife.html']",0-150,,,
758,['https://www.geonames.org/6269131/england.html'],0-150,,,
759,NHS Brent CCG; NHS Central London CCG; NHS Ealing CCG; NHS Hammersmith &Fulham CCG; NHS Harrow CCG; NHS Hillingdon CCG; NHS Hounslow CCG; NHS West London CCG,65-110,,,
760,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",40-150,,,
761,England,0-150,,,
762,England,15-110,,,
763,https://www.geonames.org/countries/GB/united-kingdom.html,18-100,,,
764,['https://www.geonames.org/6269131/england.html'],0-150,,,
765,"['https://www.geonames.org/3042225/isle-of-man.html', 'https://www.geonames.org/3042363/guernsey.html', 'https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html', 'https://www.geonames.org/2641364/northern-ireland.html']",0-150,,,
766,England,40-150,,,
767,['https://www.geonames.org/2634895/wales.html'],,,,
768,['https://www.geonames.org/2634343/west-midlands.html'],,,,
769,England,,,,
770,['https://www.geonames.org/2638360/scotland.html'],,,,
771,['https://www.geonames.org/2634343/west-midlands.html'],,,,
772,https://www.geonames.org/1210997/bangladesh.html,,,,
773,https://www.geonames.org/2641364/northern-ireland.html,,,,
774,England,,,,
