,accessRights,dataController,jurisdiction,dataProcessor,accessRequestCost,deliveryLeadTime,accessService
128,['https://www.dundee.ac.uk/hic/governanceservice/'],Imperial College London,['GB'],Higher Education Statistics Agency,['https://digital.nhs.uk/services/data-access-request-service-dars/data-access-request-service-dars-charges'],2-4 WEEKS,"DID data are available via a range of services which can be applied for through the Data Access Request Service (DARS). 

Please note we will only pause the elapsed time when we require further detail or approvals from an external provider are required.

iView
DID data is also available to the DID user community and the Department of Health. via the Community View in iView. 

This is a data resource has been designed for professionals working with health and social care data on a regular basis.

Access to iView can be requested by contacting NHS Digital on 0300 303 5678 or enquiries@nhsdigital.nhs.uk
Once a request has been received and approved and the invitation that is sent has been accepted, it usually takes 24 hours before iView is accessible."
129,Please contact the publisher using Contact Point details provided,Cambridge University Hospitals NHS Foundation Trust (CUH),GB-ENG,GENOMICS ENGLAND,Not specified,1-2 MONTHS,"Access to CPRD data, including UK Primary Care Data, and linked data such as Hospital Episode Statistics, is subject to protocol approval via CPRD’s Research Data Governance (RDG) Process. Independent scientific and patient advice is provided by Expert Review Committees (ERCs) and the Central Advisory Committee (CAC): https://www.cprd.com/research-applications"
130,['https://saildatabank.com/application-process/'],Local NHS boards,['GB-WLS'],"Data processors are NIHR BioResource staff, others with Letters of Access to CUH and approved members of staff at the data centre (AIMES, https://aimes.uk/)","['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",OTHER,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
131,['https://www.dundee.ac.uk/hic/governanceservice/'],University Hospitals Birmingham NHS Foundation Trust,['GB'],SAIL Databank,"['Research Projects - https://www.isdscotland.org/Products-and-Services/eDRIS/', 'Bespoke data analysis requests - https://publichealthscotland.scot/contact-us/bespoke-data-analysis-requests/']",VARIABLE,Access is managed on a project-by-project basis. Contact the RESPIRE team:
132,Please contact the publisher using Contact Point details provided,BREATHE,GB-SCT,"University of Dundee, Health Informatics Centre",['www.pioneerdatahub.co.uk/data/data-services-costs/'],VARIABLE,Access service for this dataset is currently being reviewed.
133,['https://saildatabank.com/application-process/'],Healthcare Quality Improvement Partnership jointly with NHS England,GB,CPRD,['www.pioneerdatahub.co.uk/data/data-services-costs/'],VARIABLE,"Trusted Research Environments (TRE) are built using Microsoft Azure services and hosted in the UK to provide research teams a safe, secure and agile environment which allows users to quickly analyse, interpret and form an enriched view of primary care information through a range of integrated datasets.

Health data collated from multiple sources is ingested into a secure data lake which will then allow subsets of data to be made available to research teams on approval of a data request. Once approved a customer specific TRE is made available with a standard set of leading analytical tools from Microsoft including Azure Databricks, Azure Machine Learning, Azure SQL and Azure Synapse (for large-scale data warehouses). Specific tools can be provided at an additional cost over the standard platform data access charge and the PIONEER team will work with you to determine your exact needs.

Access to the TRE is managed using the latest virtual desktop technology to provide a safe and secure end-user experience.  By utilising leading edge design PIONEER are able to create TREs rapidly to enable us to service any customer requirement."
134,"['https://www.informationgovernance.scot.nhs.uk/pbpphsc/', 'https://www.isdscotland.org/Products-and-Services/eDRIS/', 'https://publichealthscotland.scot/contact-us/bespoke-data-analysis-requests/']",Healthcare Quality Improvement Partnership jointly with NHS England,GB,SAIL Databank,['https://www.cprd.com/pricing'],2-6 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
135,Please contact the publisher using Contact Point details provided,Centre for Longitudinal Studies (CLS),['GB-GB'],HSC Honest Broker Service,"['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data', 'https://www.rcplondon.ac.uk/guidelines-policy/applying-work-falls-and-fragility-fracture-audit-programme-data']",1-2 MONTHS,Access is managed on a project-by-project basis. Contact the RESPIRE team:
136,['https://www.pioneerdatahub.co.uk/data/data-request-process/'],Leeds Teaching Hospitals Trust (LTHT),['GB-SCT'],SAIL Databank,"Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.",VARIABLE,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
137,Available upon request,Public Health Scotland,['GB-ENG'],RESPIRE,['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data'],PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,"Access to patient level data is dependent on approval of a study protocol by the Independent Scientific Advisory Committee (ISAC). All required linked data sources must be requested on the application form. Additionally, researchers who are first time users of a linked dataset must contact the CPRD Observational Research Team to discuss their requirements before submitting their application. Data are only provided by CPRD when part of a data extract is linked to CPRD GOLD.

https://www.cprd.com/linked-data"
138,['https://bioresource.nihr.ac.uk/using-our-bioresource'],UCL,"['GB-ENG', 'GB-SCT', 'GB-WLS']","University of Dundee, Health Informatics Centre",Not specified,PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED.,"The Office for National Statistics Secure Research Service (SRS) gives accredited researchers secure access to de-identified, unpublished data in order to work on research projects for the public good.   Most datasets are available to access through remote access to the SRS. In some instances, the data can only be accessed from an approved safe setting. 

For more information, visit: https://www.ons.gov.uk/aboutus/whatwedo/statistics/requestingstatistics/approvedresearcherscheme"
